month,yield
1949-01,0.061632
1949-02,0.065222
1949-03,0.065728
1949-04,0.066711
1949-05,0.06811
1949-06,0.073014
1949-07,0.069558
1949-08,0.067582
1949-09,0.06714
1949-10,0.067548
1949-11,0.068695
1949-12,0.068924
1950-01,0.068128
1950-02,0.067403
1950-03,0.067435
1950-04,0.066143
1950-05,0.064534
1950-06,0.064034
1950-07,0.071538
1950-08,0.069814
1950-09,0.069706
1950-10,0.069284
1950-11,0.071777
1950-12,0.07443
1951-01,0.070093
1951-02,0.068333
1951-03,0.070273
1951-04,0.069951
1951-05,0.070528
1951-06,0.07239
1951-07,0.070528
1951-08,0.066987
1951-09,0.064736
1951-10,0.063499
1951-11,0.063702
1951-12,0.060231
1952-01,0.058426
1952-02,0.059649
1952-03,0.059639
1952-04,0.060236
1952-05,0.060683
1952-06,0.059475
1952-07,0.057815
1952-08,0.057585
1952-09,0.058515
1952-10,0.05922
1952-11,0.056865
1952-12,0.054147
1953-01,0.053858
1953-02,0.054524
1953-03,0.054252
1953-04,0.057197
1953-05,0.057032
1953-06,0.05929
1953-07,0.05846
1953-08,0.058221
1953-09,0.061023
1953-10,0.059658
1953-11,0.058776
1953-12,0.058397
1954-01,0.057214
1954-02,0.056239
1954-03,0.055326
1954-04,0.052962
1954-05,0.050702
1954-06,0.050069
1954-07,0.048346
1954-08,0.047619
1954-09,0.046741
1954-10,0.046406
1954-11,0.045355
1954-12,0.044038
1955-01,0.043446
1955-02,0.042222
1955-03,0.04274
1955-04,0.041402
1955-05,0.041667
1955-06,0.039467
1955-07,0.037167
1955-08,0.037788
1955-09,0.036536
1955-10,0.038629
1955-11,0.036337
1955-12,0.036147
1956-01,0.037826
1956-02,0.038262
1956-03,0.036429
1956-04,0.03649
1956-05,0.038175
1956-06,0.038902
1956-07,0.037174
1956-08,0.037671
1956-09,0.039283
1956-10,0.039072
1956-11,0.038753
1956-12,0.037468
1957-01,0.038227
1957-02,0.039874
1957-03,0.039291
1957-04,0.038402
1957-05,0.036982
1957-06,0.036383
1957-07,0.035869
1957-08,0.038176
1957-09,0.040018
1957-10,0.042919
1957-11,0.044114
1957-12,0.044384
1958-01,0.043369
1958-02,0.04306
1958-03,0.042033
1958-04,0.04149
1958-05,0.039893
1958-06,0.038659
1958-07,0.037625
1958-08,0.036268
1958-09,0.035335
1958-10,0.034086
1958-11,0.033206
1958-12,0.032716
1959-01,0.031583
1959-02,0.032195
1959-03,0.031517
1959-04,0.031115
1959-05,0.030768
1959-06,0.031152
1959-07,0.030075
1959-08,0.030359
1959-09,0.031727
1959-10,0.031871
1959-11,0.03186
1959-12,0.030985
1960-01,0.032167
1960-02,0.034122
1960-03,0.03526
1960-04,0.03487
1960-05,0.035253
1960-06,0.034055
1960-07,0.034921
1960-08,0.034507
1960-09,0.035577
1960-10,0.036293
1960-11,0.035154
1960-12,0.034331
1961-01,0.032597
1961-02,0.031258
1961-03,0.030256
1961-04,0.02947
1961-05,0.029173
1961-06,0.029564
1961-07,0.029747
1961-08,0.028814
1961-09,0.029141
1961-10,0.029118
1961-11,0.028137
1961-12,0.028157
1962-01,0.029342
1962-02,0.028957
1962-03,0.029023
1962-04,0.030076
1962-05,0.032598
1962-06,0.03703
1962-07,0.036276
1962-08,0.035429
1962-09,0.035862
1962-10,0.037327
1962-11,0.035199
1962-12,0.034004
1963-01,0.032842
1963-02,0.032514
1963-03,0.032739
1963-04,0.031511
1963-05,0.031128
1963-06,0.031379
1963-07,0.0319
1963-08,0.031089
1963-09,0.030336
1963-10,0.030581
1963-11,0.031075
1963-12,0.03074
1964-01,0.030041
1964-02,0.029892
1964-03,0.029569
1964-04,0.029355
1964-05,0.029278
1964-06,0.029661
1964-07,0.028839
1964-08,0.029512
1964-09,0.029253
1964-10,0.028992
1964-11,0.029026
1964-12,0.029776
1965-01,0.029223
1965-02,0.029203
1965-03,0.029368
1965-04,0.029215
1965-05,0.02901
1965-06,0.030691
1965-07,0.030935
1965-08,0.030562
1965-09,0.029761
1965-10,0.029325
1965-11,0.0293
1965-12,0.029652
1966-01,0.029361
1966-02,0.029777
1966-03,0.031278
1966-04,0.030531
1966-05,0.032419
1966-06,0.032884
1966-07,0.033201
1966-08,0.035586
1966-09,0.037142
1966-10,0.037383
1966-11,0.035519
1966-12,0.035288
1967-01,0.034103
1967-02,0.033082
1967-03,0.032431
1967-04,0.031882
1967-05,0.031321
1967-06,0.031718
1967-07,0.031251
1967-08,0.030832
1967-09,0.030477
1967-10,0.030525
1967-11,0.031513
1967-12,0.03064
1968-01,0.030829
1968-02,0.032397
1968-03,0.033113
1968-04,0.030974
1968-05,0.030415
1968-06,0.029751
1968-07,0.029943
1968-08,0.030748
1968-09,0.029911
1968-10,0.029319
1968-11,0.029001
1968-12,0.028826
1969-01,0.030196
1969-02,0.030443
1969-03,0.031219
1969-04,0.030701
1969-05,0.029828
1969-06,0.031572
1969-07,0.033119
1969-08,0.033376
1969-09,0.03333
1969-10,0.033012
1969-11,0.03281
1969-12,0.034683
1970-01,0.035027
1970-02,0.036332
1970-03,0.035759
1970-04,0.036921
1970-05,0.041765
1970-06,0.042069
1970-07,0.042041
1970-08,0.040897
1970-09,0.038629
1970-10,0.037612
1970-11,0.037455
1970-12,0.03487
1971-01,0.03348
1971-02,0.032129
1971-03,0.031225
1971-04,0.030162
1971-05,0.030545
1971-06,0.031087
1971-07,0.031279
1971-08,0.031811
1971-09,0.031087
1971-10,0.031692
1971-11,0.033161
1971-12,0.030957
1972-01,0.029719
1972-02,0.029183
1972-03,0.028505
1972-04,0.028217
1972-05,0.028505
1972-06,0.028426
1972-07,0.028669
1972-08,0.027718
1972-09,0.028154
1972-10,0.028315
1972-11,0.027165
1972-12,0.026809
1973-01,0.026661
1973-02,0.0277
1973-03,0.028203
1973-04,0.028891
1973-05,0.029882
1973-06,0.030725
1973-07,0.030592
1973-08,0.031342
1973-09,0.030966
1973-10,0.030115
1973-11,0.032778
1973-12,0.035662
1974-01,0.035376
1974-02,0.036597
1974-03,0.035304
1974-04,0.037422
1974-05,0.038809
1974-06,0.03898
1974-07,0.044509
1974-08,0.046824
1974-09,0.052701
1974-10,0.051747
1974-11,0.050135
1974-12,0.053675
1975-01,0.049936
1975-02,0.045526
1975-03,0.043805
1975-04,0.043477
1975-05,0.041029
1975-06,0.040152
1975-07,0.040112
1975-08,0.043285
1975-09,0.043817
1975-10,0.041775
1975-11,0.040968
1975-12,0.041488
1976-01,0.038027
1976-02,0.036647
1976-03,0.036499
